date,PP,PSOE,ERC,PNVEAJ,CC,BNG,Cs,VOX,Podemos,EHBildu,PACMA,PDeCAT,Comp,JuntsxCat,Naplus,MP,CUP,Sumar,firm,date_from,sample_size
2013-01-14,35,30.2,2,1.3,0.9,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CIS,2013-01-04,2483
2013-01-21,36.5,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2013-01-10,955
2013-01-25,30,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2013-01-21,NA
2013-01-29,30.2,28,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GESOP,2013-01-25,1000
2013-02-01,23.9,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2013-01-30,2000
2013-02-06,29.8,28.6,1.6,1.6,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2013-02-01,1100
2013-02-08,33.5,28.2,1.4,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sigma Dos,2013-02-06,1000
2013-02-08,33.3,24.2,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2013-02-04,NA
2013-02-15,29.4,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2013-02-11,NA
2013-02-28,24.3,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2013-02-27,1000
2013-03-01,29,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2013-02-25,NA
2013-03-06,29.4,27.8,2,1.5,1.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2013-03-01,1100
2013-03-08,31.2,21.5,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2013-03-04,1017
2013-03-22,29.1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2013-03-18,NA
2013-04-04,24.5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2013-04-03,1000
2013-04-05,30.4,27.1,2.1,1.5,1.1,0.5,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2013-04-01,1100
2013-04-08,34,28.2,2,1.2,0.9,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CIS,2013-04-01,2482
2013-04-08,29.2,21.4,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2013-04-01,1010
2013-04-12,29.2,24.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2013-04-08,NA
2013-05-07,30.5,26.7,2.2,1.5,1,0.5,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2013-05-02,1100
2013-05-08,28.7,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MyWord,2013-05-02,1000
2013-05-09,22.5,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2013-05-08,1000
2013-05-10,29,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2013-05-06,NA
2013-05-10,35.4,25.3,1.5,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sigma Dos,2013-05-08,1000
2013-05-10,29.2,22.4,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2013-05-03,987
2013-05-18,28.6,25.1,2.7,1.1,0.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2013-05-18,14000
2013-05-23,32.6,25.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2013-05-13,955
2013-05-30,34.1,25.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GAD3,2013-05-27,1000
2013-06-03,39.7,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asturbarómetro,2013-05-05,403
2013-06-06,24.5,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2013-06-05,1000
2013-06-07,30.9,26.5,2.1,1.6,0.9,0.6,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2013-06-03,1100
2013-06-11,31.9,21.2,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2013-06-03,1018
2013-06-14,28.9,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2013-06-10,NA
2013-06-18,30.3,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MyWord,2013-06-14,1000
2013-06-28,28.1,25.5,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GESOP,2013-06-25,1000
2013-07-04,23,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2013-07-03,1000
2013-07-05,31.7,27,2.2,1.6,0.9,0.7,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2013-07-01,1100
2013-07-05,29.1,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2013-07-01,NA
2013-07-09,25.8,24.2,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2013-07-01,1012
2013-07-10,32.5,27.2,2.3,1.4,0.5,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CIS,2013-07-01,2476
2013-07-18,30.7,27.8,1.6,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sigma Dos,2013-07-16,1000
2013-07-25,34.7,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2013-07-24,1000
2013-07-31,31.3,27.1,2.2,1.5,0.9,0.7,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2013-07-26,1100
2013-07-31,30,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TNS Demoscopia,2013-07-29,1000
2013-08-10,29.6,22.2,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2013-08-01,1025
2013-08-30,28.4,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MyWord,2013-08-26,1000
2013-09-05,30.1,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2013-09-04,700
